"","SEQN","HOQ040","HOD050","HOD060","HOQ065","HOQ070","HOQ080","file_name","cycle","begin_year","end_year"
"53",51676,6,10,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"54",51677,6,11,3,1,1,1,"HOQ_F","2009-2010",2009,2010
"55",51678,1,5,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"56",51679,1,7,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"57",51680,99,3,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"58",51681,2,7,1,1,1,2,"HOQ_F","2009-2010",2009,2010
"59",51682,3,13,5,1,1,1,"HOQ_F","2009-2010",2009,2010
"60",51683,1,7,3,1,2,1,"HOQ_F","2009-2010",2009,2010
"61",51684,3,6,2,1,1,2,"HOQ_F","2009-2010",2009,2010
"62",51685,3,10,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"63",51686,99,5,1,2,1,1,"HOQ_F","2009-2010",2009,2010
"64",51687,1,5,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"65",51688,5,7,4,3,1,2,"HOQ_F","2009-2010",2009,2010
"66",51689,5,6,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"67",51690,5,4,3,2,1,1,"HOQ_F","2009-2010",2009,2010
"68",51691,1,9,4,1,1,1,"HOQ_F","2009-2010",2009,2010
"69",51692,99,3,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"70",51693,1,5,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"71",51694,6,6,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"72",51695,1,5,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"73",51696,3,4,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"74",51697,99,4,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"75",51698,2,7,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"76",51699,99,2,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"77",51700,3,3,5,2,1,1,"HOQ_F","2009-2010",2009,2010
"78",51701,4,6,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"79",51702,5,10,3,2,2,1,"HOQ_F","2009-2010",2009,2010
"80",51703,5,4,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"81",51704,99,9,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"82",51705,99,6,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"83",51706,2,5,5,2,1,2,"HOQ_F","2009-2010",2009,2010
"84",51707,1,4,3,2,1,1,"HOQ_F","2009-2010",2009,2010
"85",51708,2,9,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"86",51709,4,6,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"87",51710,3,4,3,1,1,1,"HOQ_F","2009-2010",2009,2010
"88",51711,99,4,5,2,1,2,"HOQ_F","2009-2010",2009,2010
"89",51712,99,4,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"90",51713,99,4,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"91",51714,3,5,4,1,1,1,"HOQ_F","2009-2010",2009,2010
"92",51715,1,10,5,1,2,2,"HOQ_F","2009-2010",2009,2010
"93",51716,99,5,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"94",51717,4,7,2,1,1,2,"HOQ_F","2009-2010",2009,2010
"95",51718,5,5,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"96",51719,1,13,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"97",51720,1,8,3,1,2,2,"HOQ_F","2009-2010",2009,2010
"98",51721,1,5,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"99",51722,1,8,5,1,1,1,"HOQ_F","2009-2010",2009,2010
"100",51723,3,3,1,2,1,1,"HOQ_F","2009-2010",2009,2010
"101",51724,1,9,4,1,1,1,"HOQ_F","2009-2010",2009,2010
"102",51725,1,6,2,1,1,2,"HOQ_F","2009-2010",2009,2010
"103",51726,1,8,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"104",51727,99,5,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"105",51728,99,6,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"106",51729,1,6,3,1,1,1,"HOQ_F","2009-2010",2009,2010
"107",51730,99,3,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"108",51731,99,4,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"109",51732,6,5,1,2,2,1,"HOQ_F","2009-2010",2009,2010
"110",51733,99,4,1,1,1,2,"HOQ_F","2009-2010",2009,2010
"111",51734,3,6,5,1,2,1,"HOQ_F","2009-2010",2009,2010
"112",51735,2,5,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"113",51736,2,4,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"114",51737,99,6,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"115",51738,1,6,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"116",51739,3,4,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"117",51740,99,5,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"118",51741,2,4,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"119",51742,2,5,5,1,2,2,"HOQ_F","2009-2010",2009,2010
"120",51743,6,5,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"121",51744,4,5,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"122",51745,1,8,3,1,1,1,"HOQ_F","2009-2010",2009,2010
"123",51746,99,4,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"124",51747,3,5,1,1,1,2,"HOQ_F","2009-2010",2009,2010
"125",51748,99,1,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"126",51749,4,6,5,1,1,1,"HOQ_F","2009-2010",2009,2010
"127",51750,1,6,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"128",51751,2,5,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"129",51752,6,4,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"130",51753,3,7,2,1,1,1,"HOQ_F","2009-2010",2009,2010
"131",51754,2,7,2,1,1,1,"HOQ_F","2009-2010",2009,2010
"132",51755,1,5,1,1,1,2,"HOQ_F","2009-2010",2009,2010
"133",51756,6,8,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"134",51757,6,5,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"135",51758,1,7,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"136",51759,2,5,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"137",51760,99,4,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"138",51761,99,3,5,2,1,2,"HOQ_F","2009-2010",2009,2010
"139",51762,99,6,2,2,1,1,"HOQ_F","2009-2010",2009,2010
"140",51763,99,7,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"141",51764,3,4,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"142",51765,1,8,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"143",51766,1,6,4,1,2,2,"HOQ_F","2009-2010",2009,2010
"144",51767,3,9,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"145",51768,2,12,5,1,1,1,"HOQ_F","2009-2010",2009,2010
"146",51769,4,7,5,1,2,1,"HOQ_F","2009-2010",2009,2010
"147",51770,99,6,5,1,1,1,"HOQ_F","2009-2010",2009,2010
"148",51771,3,7,5,1,2,1,"HOQ_F","2009-2010",2009,2010
"149",51772,2,7,4,2,1,2,"HOQ_F","2009-2010",2009,2010
"150",51773,6,12,2,1,2,1,"HOQ_F","2009-2010",2009,2010
"151",51774,5,6,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"152",51775,99,3,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"153",51776,5,4,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"154",51777,5,6,1,3,1,2,"HOQ_F","2009-2010",2009,2010
"155",51778,4,5,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"156",51779,99,9,2,1,1,2,"HOQ_F","2009-2010",2009,2010
"157",51780,2,7,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"158",51781,1,7,2,1,1,1,"HOQ_F","2009-2010",2009,2010
"159",51782,99,5,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"160",51783,99,6,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"161",51784,6,11,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"162",51785,1,6,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"163",51786,1,6,2,1,1,2,"HOQ_F","2009-2010",2009,2010
"164",51787,1,8,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"165",51788,1,8,4,1,1,1,"HOQ_F","2009-2010",2009,2010
"166",51789,99,6,2,3,1,1,"HOQ_F","2009-2010",2009,2010
"167",51790,3,6,3,1,2,2,"HOQ_F","2009-2010",2009,2010
"168",51791,99,4,2,2,1,1,"HOQ_F","2009-2010",2009,2010
"169",51792,2,9,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"170",51793,2,4,4,1,1,1,"HOQ_F","2009-2010",2009,2010
"171",51794,6,4,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"172",51795,99,7,2,1,1,2,"HOQ_F","2009-2010",2009,2010
"173",51796,2,6,4,1,1,1,"HOQ_F","2009-2010",2009,2010
"174",51797,4,9,3,1,1,1,"HOQ_F","2009-2010",2009,2010
"175",51798,3,6,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"176",51799,1,4,4,2,1,2,"HOQ_F","2009-2010",2009,2010
"177",51800,2,6,2,2,1,1,"HOQ_F","2009-2010",2009,2010
"178",51801,5,6,2,3,1,2,"HOQ_F","2009-2010",2009,2010
"179",51802,99,2,3,2,9,2,"HOQ_F","2009-2010",2009,2010
"180",51803,99,7,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"181",51804,6,7,5,1,2,2,"HOQ_F","2009-2010",2009,2010
"182",51805,99,4,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"183",51806,6,3,5,2,1,2,"HOQ_F","2009-2010",2009,2010
"184",51807,99,5,2,1,1,1,"HOQ_F","2009-2010",2009,2010
"185",51808,99,5,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"186",51809,5,4,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"187",51810,1,11,4,1,1,1,"HOQ_F","2009-2010",2009,2010
"188",51811,6,4,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"189",51812,2,5,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"190",51813,1,13,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"191",51814,3,5,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"192",51815,1,7,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"193",51816,2,4,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"194",51817,3,5,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"195",51818,4,7,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"196",51819,5,6,5,1,1,1,"HOQ_F","2009-2010",2009,2010
"197",51820,5,8,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"198",51821,5,5,5,2,1,2,"HOQ_F","2009-2010",2009,2010
"199",51822,2,6,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"200",51823,5,8,5,1,1,1,"HOQ_F","2009-2010",2009,2010
"201",51824,99,5,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"202",51825,99,8,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"203",51826,5,7,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"204",51827,6,4,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"205",51828,6,8,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"206",51829,1,7,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"207",51830,1,10,4,1,2,1,"HOQ_F","2009-2010",2009,2010
"208",51831,1,5,1,3,1,2,"HOQ_F","2009-2010",2009,2010
"209",51832,1,9,2,1,1,2,"HOQ_F","2009-2010",2009,2010
"210",51833,99,6,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"211",51834,1,4,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"212",51835,99,4,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"213",51836,2,7,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"214",51837,99,7,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"215",51838,3,5,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"216",51839,6,4,4,2,1,1,"HOQ_F","2009-2010",2009,2010
"217",51840,2,5,4,1,1,1,"HOQ_F","2009-2010",2009,2010
"218",51841,4,6,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"219",51842,99,4,1,2,9,2,"HOQ_F","2009-2010",2009,2010
"220",51843,4,6,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"221",51844,99,5,4,2,1,2,"HOQ_F","2009-2010",2009,2010
"222",51845,2,6,4,1,2,2,"HOQ_F","2009-2010",2009,2010
"223",51846,6,12,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"224",51847,2,5,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"225",51848,4,7,1,1,1,2,"HOQ_F","2009-2010",2009,2010
"226",51849,1,7,2,1,1,2,"HOQ_F","2009-2010",2009,2010
"227",51850,6,5,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"228",51851,6,4,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"229",51852,99,5,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"230",51853,6,4,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"231",51854,99,4,4,2,1,2,"HOQ_F","2009-2010",2009,2010
"232",51855,99,6,1,3,1,2,"HOQ_F","2009-2010",2009,2010
"233",51856,2,11,2,1,1,2,"HOQ_F","2009-2010",2009,2010
"234",51857,1,7,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"235",51858,6,4,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"236",51859,4,7,4,2,1,1,"HOQ_F","2009-2010",2009,2010
"237",51860,99,7,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"238",51861,6,7,5,2,2,1,"HOQ_F","2009-2010",2009,2010
"239",51862,1,6,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"240",51863,6,6,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"241",51864,1,5,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"242",51865,1,7,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"243",51866,3,6,3,1,2,1,"HOQ_F","2009-2010",2009,2010
"244",51867,5,4,3,2,1,1,"HOQ_F","2009-2010",2009,2010
"245",51868,99,5,1,2,1,1,"HOQ_F","2009-2010",2009,2010
"246",51869,1,10,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"247",51870,1,4,1,2,3,2,"HOQ_F","2009-2010",2009,2010
"248",51871,99,4,99,2,1,2,"HOQ_F","2009-2010",2009,2010
"249",51872,99,6,5,1,1,1,"HOQ_F","2009-2010",2009,2010
"250",51873,1,7,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"251",51874,5,6,5,1,1,1,"HOQ_F","2009-2010",2009,2010
"252",51875,99,6,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"253",51876,77,4,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"254",51877,2,7,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"255",51878,2,4,3,2,1,1,"HOQ_F","2009-2010",2009,2010
"256",51879,99,5,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"257",51880,1,5,3,1,1,1,"HOQ_F","2009-2010",2009,2010
"258",51881,99,4,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"259",51882,4,7,4,1,1,1,"HOQ_F","2009-2010",2009,2010
"260",51883,99,6,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"261",51884,2,5,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"262",51885,2,8,1,1,1,2,"HOQ_F","2009-2010",2009,2010
"263",51886,2,4,2,3,1,2,"HOQ_F","2009-2010",2009,2010
"264",51887,1,8,5,1,2,2,"HOQ_F","2009-2010",2009,2010
"265",51888,2,8,5,1,2,1,"HOQ_F","2009-2010",2009,2010
"266",51889,99,7,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"267",51890,6,7,1,1,2,1,"HOQ_F","2009-2010",2009,2010
"268",51891,4,6,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"269",51892,99,4,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"270",51893,6,11,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"271",51894,2,7,4,1,1,1,"HOQ_F","2009-2010",2009,2010
"272",51895,2,7,5,1,1,1,"HOQ_F","2009-2010",2009,2010
"273",51896,4,5,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"274",51897,4,6,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"275",51898,1,5,2,2,1,1,"HOQ_F","2009-2010",2009,2010
"276",51899,3,7,2,1,1,2,"HOQ_F","2009-2010",2009,2010
"277",51900,1,6,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"278",51901,2,9,4,1,1,1,"HOQ_F","2009-2010",2009,2010
"279",51902,2,4,1,1,1,2,"HOQ_F","2009-2010",2009,2010
"280",51903,99,4,1,2,9,2,"HOQ_F","2009-2010",2009,2010
"281",51904,3,3,1,2,1,1,"HOQ_F","2009-2010",2009,2010
"282",51905,6,8,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"283",51906,1,8,4,1,2,2,"HOQ_F","2009-2010",2009,2010
"284",51907,99,5,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"285",51908,1,6,4,2,1,2,"HOQ_F","2009-2010",2009,2010
"286",51909,2,6,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"287",51910,99,4,2,2,1,1,"HOQ_F","2009-2010",2009,2010
"288",51911,1,7,4,1,2,1,"HOQ_F","2009-2010",2009,2010
"289",51912,99,5,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"290",51913,6,9,4,1,2,1,"HOQ_F","2009-2010",2009,2010
"291",51914,99,3,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"292",51915,6,9,1,1,1,2,"HOQ_F","2009-2010",2009,2010
"293",51916,99,4,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"294",51917,99,4,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"295",51918,2,4,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"296",51919,6,7,5,1,2,1,"HOQ_F","2009-2010",2009,2010
"297",51920,3,8,5,1,2,1,"HOQ_F","2009-2010",2009,2010
"298",51921,3,4,4,2,1,2,"HOQ_F","2009-2010",2009,2010
"299",51922,99,3,2,2,1,1,"HOQ_F","2009-2010",2009,2010
"300",51923,3,6,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"301",51924,4,6,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"302",51925,5,4,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"303",51926,99,4,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"304",51927,1,5,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"305",51928,99,3,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"306",51929,3,8,5,1,1,1,"HOQ_F","2009-2010",2009,2010
"307",51930,99,5,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"308",51931,99,6,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"309",51932,4,4,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"310",51933,4,5,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"311",51934,1,4,2,1,1,1,"HOQ_F","2009-2010",2009,2010
"312",51935,1,10,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"313",51936,3,8,5,1,1,1,"HOQ_F","2009-2010",2009,2010
"314",51937,1,6,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"315",51938,4,8,5,1,1,1,"HOQ_F","2009-2010",2009,2010
"316",51939,1,5,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"317",51940,2,5,4,2,2,1,"HOQ_F","2009-2010",2009,2010
"318",51941,6,8,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"319",51942,6,5,3,2,1,1,"HOQ_F","2009-2010",2009,2010
"320",51943,1,5,5,1,2,2,"HOQ_F","2009-2010",2009,2010
"321",51944,1,8,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"322",51945,99,3,3,2,1,1,"HOQ_F","2009-2010",2009,2010
"323",51946,1,4,1,2,3,2,"HOQ_F","2009-2010",2009,2010
"324",51947,2,6,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"325",51948,99,3,2,2,1,1,"HOQ_F","2009-2010",2009,2010
"326",51949,3,4,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"327",51950,2,9,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"328",51951,4,5,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"329",51952,2,6,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"330",51953,1,13,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"331",51954,4,8,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"332",51955,99,4,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"333",51956,4,4,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"334",51957,1,4,5,1,2,1,"HOQ_F","2009-2010",2009,2010
"335",51958,99,3,3,2,9,1,"HOQ_F","2009-2010",2009,2010
"336",51959,2,4,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"337",51960,99,2,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"338",51961,2,4,3,2,1,1,"HOQ_F","2009-2010",2009,2010
"339",51962,99,4,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"340",51963,2,6,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"341",51964,6,10,5,1,1,1,"HOQ_F","2009-2010",2009,2010
"342",51965,5,5,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"343",51966,99,5,1,2,9,2,"HOQ_F","2009-2010",2009,2010
"344",51967,99,4,2,2,9,2,"HOQ_F","2009-2010",2009,2010
"345",51968,6,3,5,2,1,2,"HOQ_F","2009-2010",2009,2010
"346",51969,2,5,2,2,1,1,"HOQ_F","2009-2010",2009,2010
"347",51970,1,10,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"348",51971,99,5,2,2,1,1,"HOQ_F","2009-2010",2009,2010
"349",51972,99,3,2,2,9,2,"HOQ_F","2009-2010",2009,2010
"350",51973,5,8,5,1,1,1,"HOQ_F","2009-2010",2009,2010
"351",51974,4,5,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"352",51975,3,5,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"353",51976,3,8,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"354",51977,1,6,2,1,2,1,"HOQ_F","2009-2010",2009,2010
"355",51978,1,5,5,1,1,1,"HOQ_F","2009-2010",2009,2010
"356",51979,99,5,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"357",51980,6,8,5,1,2,1,"HOQ_F","2009-2010",2009,2010
"358",51981,4,4,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"359",51982,5,6,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"360",51983,6,4,3,2,2,2,"HOQ_F","2009-2010",2009,2010
"361",51984,3,5,3,1,1,1,"HOQ_F","2009-2010",2009,2010
"362",51985,3,9,5,1,1,1,"HOQ_F","2009-2010",2009,2010
"363",51986,4,8,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"364",51987,4,5,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"365",51988,77,2,3,2,1,2,"HOQ_F","2009-2010",2009,2010
